Benchmark, Cache size, Block Size, Associativity, Cache Latency, Cache Energy, Data Hits, Data Misses, Writebacks, Instructions Hits, Instruction Misses
0,16384,32,32,1.481290,0.343944,42996325,185,0,134077166,140562
0,16384,64,1,1.182570,0.033274,52545877,1409317,403071,133567709,650019
0,16384,64,1,1.182570,0.033274,10655,344,58,43507,529
0,16384,64,1,1.182570,0.033274,1030214,10776,2711,7696509,256
0,16384,64,1,1.182570,0.033274,42996397,113,0,130537541,3680187
0,16384,64,2,1.182690,0.033113,53669119,286075,150187,133640429,577299
0,16384,64,2,1.182690,0.033113,10672,327,48,43569,467
0,16384,64,2,1.182690,0.033113,1037941,3049,384,7696519,246
0,16384,64,2,1.182690,0.033113,42996397,113,0,132355892,1861836
0,16384,64,4,1.375500,0.037533,53779520,175674,122865,133781085,436643
0,16384,64,4,1.375500,0.037533,10676,323,26,43581,455
0,16384,64,4,1.375500,0.037533,1040323,667,298,7696521,244
0,16384,64,4,1.375500,0.037533,42996397,113,0,133345644,872084
0,16384,64,8,1.456600,0.081704,53738770,216424,144859,133778078,439650
0,16384,64,8,1.456600,0.081704,10677,322,12,43583,453
0,16384,64,8,1.456600,0.081704,1040323,667,289,7696531,234
0,16384,64,8,1.456600,0.081704,42996397,113,0,133934418,283310
0,16384,64,16,1.430100,0.168929,53712324,242870,166820,133777837,439891
0,16384,64,16,1.430100,0.168929,10680,319,12,43582,454
0,16384,64,16,1.430100,0.168929,1040323,667,288,7696533,232
0,16384,64,16,1.430100,0.168929,42996397,113,0,133881609,336119
0,16384,128,1,1.182570,0.033274,52207040,1748154,607670,133827888,389840
0,16384,128,1,1.182570,0.033274,10792,207,49,43703,333
0,16384,128,1,1.182570,0.033274,1029676,11314,2730,7696602,163
0,16384,128,1,1.182570,0.033274,42996441,69,0,130647836,3569892
0,16384,128,2,1.182690,0.033113,53712574,242620,130156,133900933,316795
0,16384,128,2,1.182690,0.033113,10818,181,32,43747,289
0,16384,128,2,1.182690,0.033113,1037987,3003,231,7696611,154
0,16384,128,2,1.182690,0.033113,42996441,69,0,131834864,2382864
0,16384,128,4,1.375500,0.037533,53850351,104843,71075,133988147,229581
0,16384,128,4,1.375500,0.037533,10821,178,21,43759,277
0,16384,128,4,1.375500,0.037533,1040650,340,153,7696618,147
0,16384,128,4,1.375500,0.037533,42996441,69,0,132914844,1302884
0,16384,128,8,1.456600,0.081704,53827279,127915,85023,133988031,229697
0,16384,128,8,1.456600,0.081704,10821,178,14,43755,281
0,16384,128,8,1.456600,0.081704,1040650,340,149,7696628,137
0,16384,128,8,1.456600,0.081704,42996441,69,0,133900882,316846
0,16384,256,1,1.182570,0.033274,50292340,3662854,931361,133952921,264807
0,16384,256,1,1.182570,0.033274,10858,141,47,43796,240
0,16384,256,1,1.182570,0.033274,1021502,19488,4860,7696637,128
0,16384,256,1,1.182570,0.033274,42996468,42,0,131317577,2900151
0,16384,256,2,1.182690,0.033113,53731496,223698,81653,134027162,190566
0,16384,256,2,1.182690,0.033113,10891,108,25,43845,191
0,16384,256,2,1.182690,0.033113,1037280,3710,272,7696656,109
0,16384,256,2,1.182690,0.033113,42996468,42,0,132072570,2145158
0,16384,256,4,1.375500,0.037533,53885294,69900,43910,134096758,120970
